date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:09:21	71115/71115	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:42:38%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/bootstrap-daterangepicker/daterangepicker.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/bootstrap-daterangepicker/daterangepicker.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:22	57647/57647	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:42:34%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/bootstrap-datepicker/bootstrap-datepicker.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/bootstrap-datepicker/bootstrap-datepicker.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:22	4445/4445	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:42:24%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/js/vendors/circle-progress.min.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/js/vendors/circle-progress.min.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:23	4233/4233	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:44:21%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/rating/jquery.rating-stars.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/rating/jquery.rating-stars.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:23	10756/10756	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:42:47%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/clipboard/clipboard.min.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/clipboard/clipboard.min.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:23	805/805	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:42:47%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/clipboard/clipboard.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/clipboard/clipboard.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:24	12612/12612	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:44:16%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/prism/prism.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/prism/prism.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:25	5824/5824	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:49:08%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/jquery-nice-select/js/jquery.nice-select.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/jquery-nice-select/js/jquery.nice-select.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:25	119/119	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:49:08%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/jquery-nice-select/js/nice-select.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/jquery-nice-select/js/nice-select.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:25	81043/81043	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:44:22%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/scroll-bar/jquery.mCustomScrollbar.concat.min.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/scroll-bar/jquery.mCustomScrollbar.concat.min.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:26	35321/35321	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:44:13%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/p-scroll/p-scroll.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/p-scroll/p-scroll.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:26	714/714	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:44:12%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/p-scroll/p-scroll-leftmenu.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/p-scroll/p-scroll-leftmenu.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:26	1216/1216	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:44:27%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/sidemenu/sidemenu.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/sidemenu/sidemenu.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:27	10262/10262	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:49:38%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/sidemenu-responsive-tabs/js/sidemenu-responsive-tabs.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/sidemenu-responsive-tabs/js/sidemenu-responsive-tabs.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:27	34068/34068	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:43:44%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/jqvmap/jquery.vmap.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/jqvmap/jquery.vmap.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
02:09:28	2386/2386	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Oct%202020%2012:43:44%20GMT	https://www.spruko.com/demo/dashlot/Dashlot/assets/plugins/jqvmap/jquery.vmap.sampledata.js	C:/Users/OBIBI%20JOHN.%20G/Desktop/Briskita%20Web/Briskita%20Dashboad/Dashlot%20dashboard/www.spruko.com/demo/dashlot/Dashlot/assets/plugins/jqvmap/jquery.vmap.sampledata.js	(from https://www.spruko.com/demo/dashlot/Dashlot/sidemenu-Toggle-Dark/)
